"Gene","Count","Phenotypes"
"Zm00001eb001640",4,"MLM_envGWAS_NHx;MLM_envGWAS_N;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N"
"Zm00001eb001650",4,"MLM_envGWAS_NHx;MLM_envGWAS_N;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N"
"Zm00001eb002170",4,"FarmCPU_envGWAS_N;MLM_envGWAS_NHx;MLM_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb002310",4,"MLM_envGWAS_N;MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N"
"Zm00001eb002320",4,"MLM_envGWAS_N;MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N"
"Zm00001eb002330",4,"MLM_envGWAS_N;MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N"
"Zm00001eb002340",4,"MLM_envGWAS_N;MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N"
"Zm00001eb008420",4,"MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb008430",4,"MLM_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb008440",4,"MLM_envGWAS_N;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb008450",4,"FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;MLM_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb008460",4,"MLM_envGWAS_N;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb008660",4,"FarmCPU_envGWAS_N;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;MLM_envGWAS_N"
"Zm00001eb009460",4,"MLM_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb013860",4,"MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;MLM_envGWAS_N_sorghum;Fst_N_Sorghum"
"Zm00001eb013970",4,"MLM_envGWAS_N_sorghum;MLM_envGWAS_NHx;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb014140",4,"MLM_envGWAS_N_sorghum;MLM_envGWAS_N;TajimaD_IndianChief;FarmCPU_envGWAS_NHx"
"Zm00001eb014150",4,"MLM_envGWAS_N_sorghum;MLM_envGWAS_N;TajimaD_IndianChief;FarmCPU_envGWAS_NHx"
"Zm00001eb015190",4,"FarmCPU_envGWAS_NHx;MLM_envGWAS_NHx;FarmCPU_envGWAS_N_sorghum;MLM_envGWAS_N"
